nome_livro,autor,ano,genero
O Pequeno Príncipe,Antoine de Saint-Exupéry,1943,Ficção
1984,George Orwell,1949,Ficção Científica
O Senhor dos Anéis,J.R.R. Tolkien,1954,Fantasia
Orgulho e Preconceito,Jane Austen,1813,Romance
Dom Casmurro,Machado de Assis,1899,Realismo
O Sol é Para Todos, Harper Lee, 1960, Romance
Cem Anos de Solidão, Gabriel García Márquez, 1967, Realismo Mágico
Matar um Rouxinol, Harper Lee, 1960, Drama
O Hobbit, J.R.R. Tolkien, 1937, Fantasia
Brave New World, Aldous Huxley, 1932, Ficção Científica
A Revolução dos Bichos, George Orwell, 1945, Satírico
O Apanhador no Campo de Centeio, J.D. Salinger, 1951, Literatura Americana
O Grande Gatsby, F. Scott Fitzgerald, 1925, Romance
Anna Karênina, Lev Tolstói, 1877, Romance
A Arte da Guerra, Sun Tzu, 5 a.C., Filosofia
1984, George Orwell, 1949, Ficção Científica
O Morro dos Ventos Uivantes, Emily Brontë, 1847, Romance Gótico
Os Miseráveis, Victor Hugo, 1862, Drama
A Menina que Roubava Livros, Markus Zusak, 2005, Drama
A Máquina do Tempo, H.G. Wells, 1895, Ficção Científica
O Conde de Monte Cristo, Alexandre Dumas, 1844, Aventura
Drácula, Bram Stoker, 1897, Terror
O Estrangeiro, Albert Camus, 1942, Filosofia
O Diário de Anne Frank, Anne Frank, 1947, Memórias
O Pequeno Príncipe, Antoine de Saint-Exupéry, 1943, Ficção
Orgulho e Preconceito, Jane Austen, 1813, Romance
O Senhor dos Anéis, J.R.R. Tolkien, 1954, Fantasia
Dom Casmurro, Machado de Assis, 1899, Realismo
A Mão Esquerda da Escuridão, Ursula K. Le Guin, 1969, Ficção Científica
O Senhor das Moscas, William Golding, 1954, Ficção
O Código Da Vinci, Dan Brown, 2003, Mistério
O Hobbit, J.R.R. Tolkien, 1937, Fantasia
O Sol Também é uma Estrela, Nicola Yoon, 2016, Romance
A Culpa é das Estrelas, John Green, 2012, Romance
Pride and Prejudice, Jane Austen, 1813, Romance
O Conto da Aia, Margaret Atwood, 1985, Distopia
O Pequeno Príncipe, Antoine de Saint-Exupéry, 1943, Ficção
Os 13 Porquês, Jay Asher, 2007, Drama
A Hospedeira, Stephenie Meyer, 2008, Ficção Científica
Como Eu Era Antes de Você, Jojo Moyes, 2012, Romance
O Lobo das Estepes, Hermann Hesse, 1927, Ficção
A Montanha Mágica, Thomas Mann, 1924, Romance
O Velho e o Mar, Ernest Hemingway, 1952, Literatura Americana
O Leitor, Bernhard Schlink, 1995, Drama
A Casa dos Espíritos, Isabel Allende, 1982, Realismo Mágico
O Pássaro Pintado, Jerzy Kosinski, 1965, Drama
O Nome da Rosa, Umberto Eco, 1980, Mistério
O Alquimista, Paulo Coelho, 1988, Filosofia
O Último Mestre do Ar, Michael Dante DiMartino, 2010, Fantasia
A Sombra do Vento, Carlos Ruiz Zafón, 2001, Mistério
A Vida de Pi, Yann Martel, 2001, Aventura
O Segredo, Rhonda Byrne, 2006, Autoajuda
O Silmarillion, J.R.R. Tolkien, 1977, Fantasia
O Vendedor de Sonhos, Augusto Cury, 2008, Autoajuda
A Pilha de Livros, L. H. Lyman, 2020, Romance
O Homem que Vendeu sua Alma, William L. Morrow, 1999, Suspense
O Barão nas Árvores, Italo Calvino, 1957, Ficção
O Clube do Livro do Fim da Vida, Will Schwalbe, 2012, Memórias
O Homem Invisível, H.G. Wells, 1897, Ficção Científica
A Vida Secreta das Abelhas, Sue Monk Kidd, 2002, Drama
O Jardim Secreto, Frances Hodgson Burnett, 1911, Infantojuvenil
O Enigma do Quatro, Ian Caldwell e Dustin Thomason, 2004, Mistério
O Lobo de Wall Street, Jordan Belfort, 2007, Memórias
O Circo da Noite, Erin Morgenstern, 2011, Fantasia
O Mistério do Relógio de Ouro, Martin Widmark, 2007, Infantojuvenil
O Diário de Bridget Jones, Helen Fielding, 1996, Romance
O Herói Perdido, Rick Riordan, 2010, Fantasia
A Cor Púrpura, Alice Walker, 1982, Drama
O Sol é Para Todos, Harper Lee, 1960, Romance
O Que Aconteceu com o Adeus?, Sarah Dessen, 2009, Romance
O Livro dos Baltimore, Joël Dicker, 2015, Drama
A Descoberta das Bruxas, Deborah Harkness, 2011, Fantasia
O Feiticeiro de Oz, L. Frank Baum, 1900, Infantojuvenil
O Príncipe, Nicolau Maquiavel, 1532, Política
O Caçador de Pipas, Khaled Hosseini, 2003, Drama
A Vida de uma Garota, Louise Fitzhugh, 1964, Infantojuvenil
O Aviador, Eugene O'Neill, 1919, Drama
A História Sem Fim, Michael Ende, 1979, Fantasia
O Poder do Hábito, Charles Duhigg, 2012, Autoajuda
O Mínimo que Você Precisa Saber para Não Ser um Idiota, Leonardo Pinto, 2021, Autoajuda
A Caverna, José Saramago, 2002, Romance
O Melhor de Mim, Nicholas Sparks, 2011, Romance
O Doador de Memórias, Lois Lowry, 1993, Ficção
A Menina que Roubava Livros, Markus Zusak, 2005, Drama
O Casamento, Nicholas Sparks, 2003, Romance
O Poder dos Seis, Pittacus Lore, 2011, Ficção Científica
O Tigre Branco, Aravind Adiga, 2008, Drama
O Último Olimpiano, Rick Riordan, 2009, Fantasia
O Que É Literatura?, Jean-Paul Sartre, 1947, Filosofia
A Casa do Lago, Kate Morton, 2013, Mistério
O Advogado do Diabo, Andrew Neiderman, 1990, Suspense
A Última Carta de Amor, Jojo Moyes, 2010, Romance
O Projeto Rosie, Graeme Simsion, 2013, Romance
A Princesa Prometida, William Goldman, 1973, Fantasia
O Menino do Pijama Listrado, John Boyne, 2006, Drama
O Verão que Mudou Minha Vida, Jenny Han, 2009, Romance
A Última Leitura, José Eduardo Agualusa, 2021, Romance
O Estranho no Ninho, Ken Kesey, 1962, Drama
A Amiga Genial, Elena Ferrante, 2011, Romance
O Monge e o Executivo, James C. Hunter, 1998, Autoajuda
A Garota no Trem, Paula Hawkins, 2015, Mistério
O Livro dos Baltimore, Joël Dicker, 2015, Drama
O Conto da Aia, Margaret Atwood, 1985, Distopia
O Pacto, Joe Hill, 2010, Terror
A Caminho do Altar, Patricia Highsmith, 1950, Suspense
O Ladrão de Raios, Rick Riordan, 2005, Fantasia
A Fera, Alex Flinn, 2007, Romance
O Último Grande Romance, Brian Francis, 2015, Romance
O Mistério do Vale, John Verdon, 2012, Mistério
A Travessia, J.A. Jance, 2013, Suspense
O Ponto de Vista do Amor, Susan Elizabeth Phillips, 2010, Romance
A Menina que Roubava Livros, Markus Zusak, 2005, Drama
O Coração de Thomas, Haneke, 2007, Drama
A Ilha do Tesouro, Robert Louis Stevenson, 1883, Aventura
O Medo de Amores Perdidos, Mariana Enriquez, 2020, Suspense
O Chão que Ela Pisa, Francesca Hornak, 2015, Drama
A Noiva Fantasma, Yangsze Choo, 2019, Fantasia
O Homem que Ri, Victor Hugo, 1869, Romance
A Garota no Trem, Paula Hawkins, 2015, Mistério
O Pacto dos Assassinos, Robert Ludlum, 2008, Suspense
A Elegância do Ouriço, Muriel Barbery, 2006, Romance
O Mínimo que Você Precisa Saber para Não Ser Um Idiota, Leonardo Pinto, 2021, Autoajuda
A Casa das Belas Adormecidas, Yasunari Kawabata, 1961, Romance
O Hóspede de Janeiro, Alan Bradley, 2017, Mistério
A Esposa Silenciosa, Karin Slaughter, 2013, Suspense
O Quinto Beatle, Vivek J. Tiwary, 2013, Biografia
A Corrente do Bem, Michelle Richmond, 2019, Drama
O Dia do Curinga, Jostein Gaarder, 1999, Filosofia
A Garota do Calendário, Audrey Carlan, 2015, Romance
O Feiticeiro de Oz, L. Frank Baum, 1900, Infantojuvenil
O Livro do Coração, Carlos Ruiz Zafón, 2008, Romance
A Pequena Livraria dos Corações Solitários, Annie Darling, 2016, Romance
O Vendedor de Sonhos, Augusto Cury, 2008, Autoajuda
A Maravilhosa Terra dos Sonhos, Ted Sanders, 2014, Fantasia
O Segredo de um Coração, Elif Shafak, 2018, Romance
A Gata que Vivia no Telhado, Tessa Hadley, 2014, Drama
O Apanhador no Campo de Centeio, J.D. Salinger, 1951, Literatura Americana
A Descoberta das Bruxas, Deborah Harkness, 2011, Fantasia
O Lobo de Wall Street, Jordan Belfort, 2007, Memórias
A Filha do Ferro, Natasha Pulley, 2016, Fantasia
O Beijo no Asfalto, Nelson Rodrigues, 1960, Drama
A Casa dos Espíritos, Isabel Allende, 1982, Realismo Mágico
O Relógio do Juízo Final, Richard Matheson, 1959, Ficção Científica
A Canção de Salomão, Toni Morrison, 1977, Romance
O Mestre e Margarita, Mikhail Bulgakov, 1967, Ficção
A Vida Secreta das Abelhas, Sue Monk Kidd, 2002, Drama
O Livro dos Baltimore, Joël Dicker, 2015, Drama
A Caminho do Altar, Patricia Highsmith, 1950, Suspense
O Conto da Aia, Margaret Atwood, 1985, Distopia
A Senhora Dalloway, Virginia Woolf, 1925, Romance
O Diário de um Mago, Paulo Coelho, 1987, Filosofia
A Garota que Você Deixou para Trás, Jojo Moyes, 2012, Romance
O Alquimista, Paulo Coelho, 1988, Filosofia
A Morte de Ivan Ilitch, Lev Tolstói, 1886, Drama
O Enigma do Quatro, Ian Caldwell e Dustin Thomason, 2004, Mistério
